               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073486,            0.026975,           0.0091742,             0.22534,             0.28129,             0.15418,            0.034239,            0.059303,            0.011837,           0.0013252,            0.070142,           0.0033176,           0.0033176
                   1,            0.058233,            0.021933,          0.00099561,              0.2894,             0.27118,             0.19706,            0.045909,            0.057724,            0.011481,           0.0006922,             0.04001,           0.0065193,           0.0065193
                   2,            0.056343,             0.02092,          0.00076026,             0.36227,             0.31275,             0.26511,            0.079074,            0.057053,            0.011702,          0.00071603,           0.0097461,           0.0095889,           0.0095889
                   3,            0.054538,            0.020785,          0.00055747,             0.47957,             0.44437,             0.38672,             0.11978,             0.05309,            0.011204,          0.00032388,            0.009406,            0.009406,            0.009406
                   4,             0.05271,             0.02075,          0.00033931,             0.46013,             0.44564,              0.3662,             0.11869,            0.052472,            0.011286,          0.00025404,            0.009406,            0.009406,            0.009406
                   5,            0.051285,            0.020718,          0.00026625,             0.50851,             0.44146,             0.42579,             0.13061,             0.05165,             0.01104,           0.0001816,            0.009208,            0.009208,            0.009208
                   6,            0.050585,            0.020759,          0.00021781,             0.47109,             0.39064,             0.36919,              0.1154,            0.052249,            0.011308,          0.00015765,             0.00901,             0.00901,             0.00901
                   7,            0.050296,            0.020428,          0.00020444,             0.45266,             0.42351,             0.36355,             0.11237,            0.052658,            0.011252,           0.0001133,            0.008812,            0.008812,            0.008812
                   8,            0.049791,            0.020246,          0.00017696,             0.48529,             0.44043,              0.3938,             0.13201,            0.051871,            0.011092,          0.00011789,            0.008614,            0.008614,            0.008614
                   9,            0.049588,            0.020335,          0.00016484,             0.52194,             0.43236,              0.4295,             0.13541,            0.051251,            0.011081,          0.00010624,            0.008416,            0.008416,            0.008416
                  10,            0.048425,            0.020215,          0.00014732,             0.52091,             0.40329,             0.40648,             0.13387,            0.054161,            0.011381,          0.00011586,            0.008218,            0.008218,            0.008218
